handoff_flow,company_identity_note,company_id,week_start,gross_revenue,net_revenue,mrr,arr,mrr_change_pct,cancellation_amount,cancellation_rate,active_customers,top_customer_concentration,capital_ready_score,final_tier,final_advance_rate,final_credit_action,financial_feature_source
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_002,2011-10-17,0.0,0.0,3389.1,40669.2,-0.9568420796363226,0.0,0.0,0.0,0.0,81.59,2,0.75,Monitor,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_002,2011-10-24,1896.7200000000005,1896.7200000000005,2060.3121,24723.7452,-0.974848778666282,0.0,0.0,1.0,1.0,75.69,2,0.75,Monitor,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_002,2011-10-31,11109.06,11109.06,14127.528525000002,169530.34230000002,-0.8259431295756613,0.0,0.0,1.0,1.0,70.08,2,0.75,Monitor,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_002,2011-11-07,0.0,0.0,14127.528525000002,169530.34230000002,-0.8259431295756613,0.0,0.0,0.0,0.0,78.14,2,0.75,Monitor,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_002,2011-11-14,4489.34,4489.34,19004.0741,228048.88920000003,3.0,0.0,0.0,1.0,1.0,57.97,3,0.575,Review,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_002,2011-11-21,5490.24,5490.24,22907.5352,274890.4224,3.0,0.0,0.0,1.0,1.0,42.39,4,0.0,Declined,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_002,2011-11-28,10382.45,10350.45,22118.2550875,265419.06105,0.5656139039719259,32.0,0.125,1.0,1.0,51.81,4,0.0,Declined,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_002,2011-12-05,0.0,0.0,22118.2550875,265419.06105,0.5656139039719259,0.0,0.0,0.0,0.0,90.23,1,0.875,Advance eligible,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_005,2011-10-17,0.0,0.0,17892.4601625,214709.52195,3.0,0.0,0.0,0.0,0.0,88.16,1,0.875,Advance eligible,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_005,2011-10-24,0.0,0.0,17892.4601625,214709.52195,0.0,0.0,0.0,0.0,0.0,69.05,3,0.575,Review,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_005,2011-10-31,999.48,562.75,1085.68515,13028.2218,-0.9393216393866596,436.73,0.3333333333333333,1.0,1.0,74.19,2,0.75,Monitor,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_005,2011-11-07,0.0,0.0,1085.68515,13028.2218,-0.9393216393866596,0.0,0.0,0.0,0.0,83.42,2,0.75,Monitor,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_005,2011-11-14,5355.4,5355.4,6902.988399999998,82835.86079999998,-0.6141956814598553,0.0,0.0,1.0,1.0,71.2,2,0.75,Monitor,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_005,2011-11-21,0.0,0.0,6902.988399999998,82835.86079999998,-0.6141956814598553,0.0,0.0,0.0,0.0,81.38,2,0.75,Monitor,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_005,2011-11-28,0.0,0.0,5817.303249999999,69807.639,3.0,0.0,0.0,0.0,0.0,78.5,2,0.75,Monitor,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_005,2011-12-05,0.0,0.0,5817.303249999999,69807.639,3.0,0.0,0.0,0.0,0.0,89.07,1,0.875,Advance eligible,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_006,2011-10-17,3100.84,3100.84,12783.6526125,153403.83135,-0.1506757868543434,0.0,0.0,1.0,1.0,75.46,2,0.75,Monitor,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_006,2011-10-24,0.0,-27.2,6410.5369625,76926.44355,-0.6909300488937117,27.2,0.5,1.0,0.0,86.79,1,0.875,Advance eligible,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_006,2011-10-31,0.0,-100.36,6410.5369625,76926.44355,0.0058717453997561,100.36,0.5,1.0,0.0,83.94,2,0.75,Monitor,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_006,2011-11-07,768.23,763.98,4202.7772875,50433.32745,-0.553625673039317,4.25,0.25,1.0,1.0,73.21,2,0.75,Monitor,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_006,2011-11-14,5223.74,5217.34,6508.777412499999,78105.32894999998,-0.4908515109260992,6.4,0.25,1.0,1.0,72.75,2,0.75,Monitor,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_006,2011-11-21,0.0,-29.85,6508.777412499999,78105.32894999998,0.0153248394907758,29.85,0.8,1.0,0.0,88.28,1,0.875,Advance eligible,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_006,2011-11-28,760.71,760.71,7335.098649999999,88021.18379999998,0.1442253110634019,0.0,0.0,1.0,1.0,69.25,3,0.575,Review,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_006,2011-12-05,0.0,0.0,6500.608812499999,78007.30574999998,0.546741206543174,0.0,0.0,0.0,0.0,73.13,2,0.75,Monitor,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_008,2011-10-17,745.8100000000001,663.66,29622.233025,355466.7963,3.0,82.15,0.2857142857142857,5.0,0.421675761923278,59.9,3,0.575,Review,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_008,2011-10-24,431.6,431.6,29957.3846,359488.6152,3.0,0.0,0.0,1.0,1.0,61.57,3,0.575,Review,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_008,2011-10-31,1066.91,1066.91,14107.1396125,169285.67534999998,-0.2680578835183242,0.0,0.0,3.0,0.5926460526192462,53.88,4,0.0,Declined,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_008,2011-11-07,903.69,888.84,3419.5258625,41034.31035,-0.889488873622082,14.85,0.2857142857142857,4.0,0.3871128373667961,60.08,3,0.575,Review,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_008,2011-11-14,763.51,700.81,3438.7524875,41265.02985,-0.8839131241524625,62.7,0.2857142857142857,3.0,0.5214208065382248,67.41,3,0.575,Review,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_008,2011-11-21,2399.83,2399.83,5576.742324999999,66920.90789999999,-0.813844152302935,0.0,0.0,4.0,0.4987519949329744,68.65,3,0.575,Review,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_008,2011-11-28,126.12,126.12,4554.809187499999,54657.71024999999,-0.6771273757392965,0.0,0.0,1.0,1.0,77.58,2,0.75,Monitor,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_008,2011-12-05,203.1,191.3,3793.7933,45525.51959999999,0.1094500970454348,11.8,0.3333333333333333,2.0,1.0,75.37,2,0.75,Monitor,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_024,2011-10-17,5708.4800000000005,5703.53,13856.4657,166277.5884,0.787667345414389,4.95,0.0909090909090909,9.0,0.2468257749873871,56.01,3,0.575,Review,uci_online_retail_proxy
Kiran -> Anish visualization metrics -> Akil finance review,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,arx_024,2011-10-24,2388.01,2312.36,15352.3297125,184227.95655,0.7962276668268022,75.65,0.3,6.0,0.2938806788916294,49.44,4,0.0,Declined,uci_online_retail_proxy
