company_id,company_identity_note,scoring_date,capital_ready_score,composite_risk_score_legacy,final_tier,final_credit_action,final_advance_rate,ml_bad_outcome_probability_8w,output_acceptance_score,engagement_score,retention_score,concentration_score,sentiment_score,arr,mrr,advance_rate_applied,data_sources,week_start
arx_002,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-10-17,81.59,18.41,2,Monitor,0.75,0.065574624361624,92.0,92.0,55.05,92.0,45.0,40669.2,3389.1,0.75,"uci_retail_proxy,synthetic_behavior",2011-10-17
arx_002,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-10-24,75.69,24.31,2,Monitor,0.75,0.0690241223687102,92.0,92.0,66.10000000000001,18.0,45.0,24723.7452,2060.3121,0.575,"uci_retail_proxy,synthetic_behavior",2011-10-24
arx_002,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-10-31,70.08,29.92,2,Monitor,0.75,0.1884155226089297,92.0,92.0,55.05,18.0,45.0,169530.34230000002,14127.528525000002,0.575,"uci_retail_proxy,synthetic_behavior",2011-10-31
arx_002,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-11-07,78.14,21.86,2,Monitor,0.75,0.2053640760942662,92.0,92.0,66.10000000000001,92.0,45.0,169530.34230000002,14127.528525000002,0.75,"uci_retail_proxy,synthetic_behavior",2011-11-07
arx_002,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-11-14,57.97,42.03,3,Review,0.575,0.3967997793988859,92.0,18.0,92.0,18.0,45.0,228048.88920000003,19004.0741,0.575,"uci_retail_proxy,synthetic_behavior",2011-11-14
arx_002,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-11-21,42.39,57.61,4,Declined,0.0,0.7004177544708382,92.0,18.0,80.94999999999999,18.0,18.0,274890.4224,22907.5352,0.0,"uci_retail_proxy,synthetic_behavior",2011-11-21
arx_002,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-11-28,51.81,48.19,4,Declined,0.0,0.6430859191315059,92.0,75.0,80.94999999999999,18.0,18.0,265419.06105,22118.2550875,0.575,"uci_retail_proxy,synthetic_behavior",2011-11-28
arx_002,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-12-05,90.23,9.77,1,Advance eligible,0.875,0.1304303033861883,92.0,92.0,92.0,92.0,92.0,265419.06105,22118.2550875,0.875,"uci_retail_proxy,synthetic_behavior",2011-12-05
arx_005,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-10-17,88.16,11.84,1,Advance eligible,0.875,0.1897932906419096,92.0,92.0,92.0,92.0,92.0,214709.52195,17892.4601625,0.875,"uci_retail_proxy,synthetic_behavior",2011-10-17
arx_005,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-10-24,69.05,30.95,3,Review,0.575,0.2861541255474897,92.0,18.0,92.0,92.0,45.0,214709.52195,17892.4601625,0.575,"uci_retail_proxy,synthetic_behavior",2011-10-24
