company_id,company_identity_note,scoring_date,capital_ready_score,composite_risk_score_legacy,final_tier,final_credit_action,final_advance_rate,ml_bad_outcome_probability_8w,output_acceptance_score,engagement_score,retention_score,concentration_score,sentiment_score,arr,mrr,advance_rate_applied,data_sources
arx_002,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-12-05,90.23,9.77,1,Advance eligible,0.875,0.1304303033861883,92.0,92.0,92.0,92.0,92.0,265419.06105,22118.2550875,0.875,"uci_retail_proxy,synthetic_behavior"
arx_005,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-12-05,89.07,10.93,1,Advance eligible,0.875,0.1638205637683527,92.0,92.0,92.0,92.0,92.0,69807.639,5817.303249999999,0.875,"uci_retail_proxy,synthetic_behavior"
arx_069,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-12-05,79.7,20.3,2,Monitor,0.75,0.1620609837647236,92.0,92.0,92.0,18.0,75.0,136525.07055,11377.0892125,0.75,"uci_retail_proxy,synthetic_behavior"
arx_008,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-12-05,75.37,24.63,2,Monitor,0.75,0.1112752950988192,92.0,75.0,92.0,18.0,45.0,45525.51959999999,3793.7933,0.575,"uci_retail_proxy,synthetic_behavior"
arx_024,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-12-05,73.69,26.31,2,Monitor,0.75,0.4110550886651651,92.0,92.0,75.55,45.0,92.0,147981.9231,12331.826925,0.75,"uci_retail_proxy,synthetic_behavior"
arx_006,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-12-05,73.13,26.87,2,Monitor,0.75,0.3026337417420546,75.0,75.0,92.0,92.0,45.0,78007.30574999998,6500.608812499999,0.75,"uci_retail_proxy,synthetic_behavior"
arx_061,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-12-05,71.27,28.73,2,Monitor,0.75,0.1544234292232816,92.0,92.0,55.05,18.0,45.0,79858.27575,6654.8563125,0.575,"uci_retail_proxy,synthetic_behavior"
arx_043,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-12-05,70.96,29.04,2,Monitor,0.75,0.5707137062377077,92.0,92.0,92.0,75.0,75.0,168435.53264999998,14036.294387499998,0.875,"uci_retail_proxy,synthetic_behavior"
arx_031,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-12-05,70.66,29.34,2,Monitor,0.75,0.3571906534132257,92.0,75.0,92.0,18.0,75.0,153036.63540000003,12753.05295,0.75,"uci_retail_proxy,synthetic_behavior"
arx_049,Synthetic ARX borrower bucket from UCI Retail customers; not a real company,2011-12-05,70.13,29.87,2,Monitor,0.75,0.2238238168207557,92.0,92.0,92.0,18.0,18.0,101957.81475,8496.4845625,0.575,"uci_retail_proxy,synthetic_behavior"
